region,scenario,year,temperature_c,precip_mm_day,temp_baseline_c,precip_baseline_mm_day,temp_anomaly_c,precip_change_pct,co2_ppm
Global,ssp126,2040,14.86827638950424,2.8660869805114078,14.407739374411412,2.8432781352137413,0.46053701509282874,0.8022023950165478,452.5
Global,ssp126,2041,15.131370913519167,2.8749553989265535,14.407739374411412,2.8432781352137413,0.723631539107755,1.1141106218379473,454.25
Global,ssp126,2042,15.202154812116238,2.87641204130863,14.407739374411412,2.8432781352137413,0.794415437704826,1.1653417118968536,456.0
Global,ssp126,2043,14.98988232234052,2.872542018613295,14.407739374411412,2.8432781352137413,0.5821429479291087,1.0292304167194632,457.75
Global,ssp126,2044,15.076048184719328,2.887025374079338,14.407739374411412,2.8432781352137413,0.6683088103079164,1.538619747529841,459.5
Global,ssp126,2045,15.105254517371906,2.8801490475992004,14.407739374411412,2.8432781352137413,0.6975151429604942,1.296774730857887,461.25
Global,ssp126,2046,15.059455864738357,2.8803439045455983,14.407739374411412,2.8432781352137413,0.6517164903269457,1.3036279804216417,463.0
Global,ssp126,2047,15.11932146345264,2.884316155456863,14.407739374411412,2.8432781352137413,0.7115820890412277,1.4433347105536247,464.75
Global,ssp126,2048,15.16798167402557,2.87541700919468,14.407739374411412,2.8432781352137413,0.7602422996141591,1.1303457647319648,466.5
Global,ssp126,2049,15.154190603972781,2.881847475516302,14.407739374411412,2.8432781352137413,0.7464512295613694,1.3565095804340377,468.25
Global,ssp126,2050,15.060727635567629,2.8683050228999565,14.407739374411412,2.8432781352137413,0.6529882611562172,0.8802124342412888,470.0
Global,ssp126,2051,15.199513386376852,2.8918713011023227,14.407739374411412,2.8432781352137413,0.7917740119654404,1.7090542527922077,469.6666666666667
Global,ssp126,2052,15.13502153118042,2.895734351430224,14.407739374411412,2.8432781352137413,0.7272821567690091,1.8449203251281436,469.3333333333333
Global,ssp126,2053,15.045682100651051,2.8765124640280724,14.407739374411412,2.8432781352137413,0.6379427262396398,1.168873646328403,469.0
Global,ssp126,2054,15.008803175113144,2.8747514842115103,14.407739374411412,2.8432781352137413,0.6010638007017324,1.1069388044727113,468.6666666666667
Global,ssp126,2055,15.0630715473611,2.879510962336848,14.407739374411412,2.8432781352137413,0.6553321729496879,1.274332843993214,468.3333333333333
Global,ssp126,2056,15.143495881101794,2.886978237394909,14.407739374411412,2.8432781352137413,0.7357565066903824,1.536961918707355,468.0
Global,ssp126,2057,15.119449337557436,2.872287627933188,14.407739374411412,2.8432781352137413,0.7117099631460242,1.020283325790992,467.6666666666667
Global,ssp126,2058,15.045213703359645,2.8840073919797997,14.407739374411412,2.8432781352137413,0.6374743289482332,1.432475291869279,467.3333333333333
